,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
348,3.0,3.0,0.11,7010.0,1500.0,2020-08-13,628888.0
350,4.0,3.0,0.08,7010.0,1500.0,2019-06-24,599000.0
355,2.0,2.0,0.11,7010.0,1500.0,2020-12-29,448000.0
359,4.0,4.0,0.06,7010.0,1500.0,2016-03-14,800000.0
366,2.0,2.0,0.11,7010.0,1500.0,2018-06-07,509000.0
367,5.0,2.0,0.07,7010.0,1500.0,2017-07-17,649000.0
369,4.0,2.0,0.06,7010.0,1500.0,2017-02-03,569999.0
374,4.0,5.0,0.11,7010.0,1500.0,2020-11-24,1499000.0
385,5.0,3.0,0.11,7011.0,1500.0,2018-12-07,599900.0
392,4.0,3.0,0.11,7011.0,1500.0,2019-11-26,489999.0
397,5.0,3.0,0.14,7011.0,1954.0,2020-12-16,599900.0
398,4.0,2.0,0.1,7011.0,1500.0,2021-10-22,499000.0
404,3.0,1.0,0.11,7011.0,1500.0,2018-07-16,399000.0
407,4.0,4.0,0.12,7011.0,1500.0,2016-09-02,449000.0
411,5.0,3.0,0.17,7011.0,1500.0,2020-03-04,1500000.0
413,4.0,2.0,0.17,7011.0,1500.0,2020-02-12,1500000.0
414,3.0,2.0,0.11,7011.0,1500.0,2018-03-19,499999.0
436,5.0,3.0,0.15,7013.0,1500.0,2020-09-16,799000.0
442,3.0,1.0,0.11,7013.0,1500.0,2018-07-09,400000.0
444,3.0,2.0,0.13,7013.0,1500.0,2018-04-04,434900.0
447,4.0,3.0,0.13,7013.0,1500.0,2019-01-02,575000.0
454,5.0,2.0,0.11,7013.0,1500.0,2016-09-30,625000.0
456,4.0,4.0,0.11,7013.0,1500.0,2020-02-03,769000.0
458,3.0,1.0,0.06,7013.0,1500.0,2016-12-07,399999.0
470,4.0,3.0,0.25,7013.0,1500.0,2019-05-08,650000.0
475,3.0,2.0,0.11,7013.0,1500.0,2020-02-28,425000.0
477,3.0,1.0,0.12,7016.0,1500.0,2021-10-13,374900.0
479,3.0,3.0,0.21,7016.0,1500.0,2021-09-13,509000.0
482,2.0,3.0,0.14,7016.0,1450.0,2019-03-11,499000.0
488,1.0,1.0,0.05,7016.0,1500.0,2020-10-19,239900.0
489,2.0,2.0,0.02,7016.0,1240.0,2017-04-26,389900.0
490,2.0,1.0,0.06,7016.0,1500.0,2016-10-07,269000.0
491,2.0,2.0,0.03,7016.0,1500.0,2022-01-10,359900.0
494,4.0,3.0,0.14,7016.0,1500.0,2020-11-19,639900.0
499,4.0,4.0,0.15,7016.0,1500.0,2019-12-10,975000.0
500,3.0,2.0,0.14,7016.0,1500.0,2017-07-27,589000.0
502,4.0,3.0,0.16,7016.0,1500.0,2020-02-13,725000.0
504,3.0,2.0,0.13,7016.0,1500.0,2021-05-27,439000.0
508,4.0,3.0,0.22,7016.0,1500.0,2017-11-06,775000.0
513,4.0,2.0,0.23,7016.0,1500.0,2018-10-09,599000.0
516,3.0,2.0,0.19,7016.0,1998.0,2018-08-03,625000.0
517,3.0,2.0,0.14,7016.0,1500.0,2021-11-15,569000.0
518,4.0,3.0,0.15,7016.0,1500.0,2020-08-19,750000.0
522,4.0,2.0,0.04,7017.0,1500.0,2022-01-06,248995.0
530,6.0,2.0,0.1,7017.0,1500.0,2022-01-06,339000.0
531,6.0,3.0,0.08,7017.0,1500.0,2021-02-03,435000.0
535,3.0,4.0,0.12,7017.0,1500.0,2016-08-19,390000.0
537,2.0,3.0,0.01,7017.0,1500.0,2021-01-06,265000.0
538,3.0,3.0,0.14,7018.0,1500.0,2019-01-25,299000.0
539,3.0,2.0,0.09,7018.0,1500.0,2022-01-21,247256.0
540,3.0,3.0,0.09,7018.0,1500.0,2022-01-21,270000.0
542,6.0,3.0,0.08,7018.0,1500.0,2020-08-20,440000.0
545,7.0,2.0,0.05,7018.0,1500.0,2020-08-03,389000.0
548,4.0,2.0,0.06,7018.0,1500.0,2022-01-06,325000.0
550,3.0,3.0,0.19,7018.0,1500.0,2017-04-27,399000.0
554,4.0,2.0,0.14,7018.0,1500.0,2021-02-02,399000.0
559,5.0,3.0,0.04,7018.0,1500.0,2019-03-25,459000.0
560,4.0,2.0,0.06,7018.0,1500.0,2020-07-29,374900.0
561,4.0,1.0,0.07,7018.0,1500.0,2020-04-02,289999.0
564,2.0,1.0,0.11,7018.0,790.0,2019-02-11,180000.0
565,6.0,3.0,0.08,7018.0,1500.0,2020-10-16,350000.0
572,4.0,2.0,0.1,7018.0,1500.0,2019-09-16,399000.0
573,5.0,3.0,0.13,7018.0,1874.0,2021-10-13,395000.0
574,7.0,3.0,0.11,7018.0,1900.0,2016-03-31,420000.0
578,6.0,4.0,0.06,7018.0,1500.0,2017-06-22,450000.0
581,2.0,2.0,0.11,7020.0,1500.0,2020-03-09,449000.0
587,1.0,1.0,0.11,7020.0,1500.0,2017-03-02,375000.0
592,3.0,1.0,0.11,7020.0,1500.0,2021-12-21,252000.0
593,1.0,1.0,0.11,7020.0,1500.0,2017-10-25,299000.0
597,2.0,2.0,0.11,7020.0,1500.0,2017-10-27,649000.0
598,2.0,3.0,0.11,7020.0,1500.0,2018-06-14,878000.0
603,2.0,3.0,0.11,7020.0,1500.0,2017-12-01,949500.0
604,2.0,2.0,0.11,7020.0,1299.0,2019-02-14,1075000.0
605,3.0,3.0,0.11,7020.0,1500.0,2020-04-07,1425000.0
608,2.0,2.0,0.11,7020.0,1500.0,2018-05-09,595000.0
613,3.0,4.0,0.11,7020.0,1500.0,2019-08-23,1249000.0
614,2.0,3.0,0.11,7020.0,1500.0,2018-01-18,899900.0
615,2.0,3.0,0.11,7020.0,1500.0,2017-10-19,999000.0
617,2.0,2.0,0.11,7020.0,1500.0,2017-11-20,980000.0
627,5.0,4.0,0.11,7022.0,1500.0,2018-03-09,890000.0
629,5.0,2.0,0.11,7022.0,1500.0,2021-08-20,679000.0
630,3.0,2.0,0.06,7022.0,1500.0,2017-09-08,475000.0
632,3.0,2.0,0.11,7022.0,1500.0,2016-05-19,399000.0
640,5.0,4.0,0.06,7022.0,1500.0,2017-10-12,679000.0
653,4.0,2.0,0.24,7008.0,1773.0,2018-08-24,424900.0
655,3.0,3.0,0.13,7008.0,1662.0,2020-06-08,529999.0
659,3.0,2.0,0.11,7008.0,1516.0,2021-12-14,475000.0
660,3.0,1.0,0.13,7008.0,1346.0,2021-07-30,379000.0
672,3.0,3.0,0.09,7008.0,1500.0,2019-12-27,469000.0
673,3.0,2.0,0.11,7008.0,3000.0,2017-01-09,699000.0
675,4.0,4.0,0.11,7008.0,2825.0,2021-12-29,719900.0
677,3.0,3.0,0.11,7008.0,1320.0,2019-09-13,400000.0
681,4.0,3.0,0.14,7008.0,1305.0,2022-02-08,490000.0
685,3.0,4.0,0.05,7008.0,2064.0,2016-03-18,559900.0
705,4.0,4.0,0.11,7024.0,1500.0,2021-09-13,1320000.0
708,3.0,3.0,0.11,7024.0,1500.0,2019-08-13,750000.0
721,3.0,4.0,0.11,7024.0,1500.0,2016-10-05,975000.0
737,5.0,3.0,0.11,7013.0,1500.0,2019-09-26,750000.0
757,3.0,3.0,0.13,7013.0,1500.0,2019-11-27,479900.0
761,4.0,2.0,0.15,7013.0,1369.0,2019-04-24,450000.0
763,3.0,3.0,0.37,7013.0,1500.0,2020-04-17,675000.0
765,3.0,2.0,0.13,7016.0,1500.0,2021-02-03,479000.0
773,5.0,4.0,0.33,7016.0,3598.0,2020-09-18,1149999.0
776,3.0,2.0,0.11,7017.0,1500.0,2019-07-31,420000.0
780,5.0,2.0,0.09,7018.0,1500.0,2021-07-14,359900.0
784,3.0,2.0,0.06,7018.0,1500.0,2021-06-28,250000.0
798,3.0,3.0,0.11,7020.0,1895.0,2018-10-26,1850000.0
808,3.0,4.0,0.11,7083.0,1500.0,2019-03-14,499000.0
810,4.0,3.0,0.09,7083.0,1500.0,2016-09-26,549000.0
815,2.0,1.0,0.09,7026.0,1500.0,2018-01-25,355000.0
816,4.0,4.0,0.32,7052.0,1500.0,2017-02-01,519900.0
818,4.0,3.0,0.23,7035.0,1500.0,2019-08-30,425000.0
825,4.0,3.0,0.06,7052.0,1500.0,2018-11-15,397700.0
832,5.0,4.0,0.32,7866.0,3613.0,2018-01-03,800000.0
835,3.0,1.0,0.07,7050.0,1500.0,2022-02-28,399000.0
840,2.0,1.0,8.27,7109.0,1500.0,2019-07-16,210000.0
853,1.0,1.0,0.11,7020.0,1500.0,2020-04-13,399500.0
855,2.0,2.0,0.11,7020.0,1500.0,2017-03-09,679000.0
859,3.0,4.0,0.11,7020.0,1500.0,2016-02-09,1588000.0
862,1.0,1.0,0.11,7020.0,1500.0,2016-12-06,420000.0
866,3.0,2.0,0.11,7020.0,1500.0,2017-03-28,1499000.0
874,3.0,2.0,0.11,7020.0,1713.0,2020-05-11,1299000.0
875,2.0,2.0,0.11,7020.0,1500.0,2016-12-13,949000.0
877,2.0,2.0,0.11,7020.0,1468.0,2018-04-06,1060000.0
878,3.0,5.0,0.11,7020.0,3300.0,2021-03-09,1550000.0
879,2.0,2.0,0.11,7020.0,750.0,2019-03-14,850000.0
880,2.0,3.0,0.11,7020.0,1891.0,2019-11-21,2050000.0
883,3.0,2.0,0.15,7023.0,1500.0,2016-03-31,379000.0
889,5.0,5.0,0.17,7023.0,1500.0,2020-08-18,899900.0
890,5.0,4.0,0.66,7023.0,1500.0,2021-01-11,899000.0
894,3.0,2.0,0.16,7023.0,1500.0,2018-05-16,550000.0
