,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
519,1.0,1.0,1.33,6057.0,461.0,2019-07-24,224500.0
521,4.0,3.0,0.77,6070.0,2468.0,2021-10-18,400000.0
522,3.0,3.0,0.17,6001.0,2638.0,2019-03-07,499000.0
529,3.0,2.0,0.65,6032.0,1200.0,2019-07-30,329000.0
537,2.0,3.0,0.17,6062.0,1490.0,2020-07-27,329900.0
542,4.0,3.0,2.3,6019.0,2608.0,2017-03-16,390000.0
543,2.0,2.0,0.17,6001.0,1200.0,2018-03-02,205000.0
544,2.0,1.0,0.23,6062.0,798.0,2021-10-21,199900.0
549,4.0,5.0,2.7,6032.0,4313.0,2017-08-29,899900.0
555,2.0,3.0,0.17,6001.0,1334.0,2019-11-07,229900.0
564,4.0,2.0,0.46,6032.0,1516.0,2019-02-15,359000.0
565,3.0,3.0,0.35,6010.0,1744.0,2016-12-28,309900.0
567,2.0,1.0,0.17,6032.0,881.0,2016-09-01,135000.0
570,2.0,4.0,0.17,6001.0,1527.0,2018-08-30,299900.0
576,4.0,3.0,0.36,6010.0,2400.0,2020-02-06,384900.0
578,4.0,4.0,2.0,6070.0,3723.0,2019-10-01,799000.0
580,2.0,1.0,0.17,6032.0,881.0,2018-03-16,149500.0
592,3.0,3.0,1.69,6001.0,2440.0,2018-05-29,424900.0
600,3.0,3.0,1.91,6062.0,2456.0,2018-11-15,449000.0
603,3.0,2.0,0.35,6085.0,2108.0,2020-06-29,399000.0
605,3.0,2.0,0.3,6010.0,1711.0,2017-01-03,299900.0
609,3.0,2.0,0.58,6070.0,1762.0,2019-02-04,379000.0
612,4.0,3.0,0.92,6070.0,1916.0,2021-09-13,424900.0
620,2.0,1.0,0.49,6001.0,1024.0,2020-06-09,239000.0
636,3.0,3.0,0.17,6001.0,2708.0,2020-10-16,375000.0
642,4.0,5.0,1.16,6089.0,4144.0,2021-10-01,995000.0
643,3.0,3.0,0.17,6032.0,1896.0,2020-03-20,359000.0
653,3.0,2.0,0.29,6062.0,1056.0,2021-10-26,269900.0
655,3.0,2.0,0.59,6019.0,1678.0,2018-08-21,319900.0
656,4.0,4.0,2.0,6060.0,2532.0,2019-08-06,499000.0
661,3.0,2.0,2.5,6082.0,2202.0,2018-07-16,160000.0
671,4.0,3.0,0.26,6082.0,2187.0,2020-07-14,299900.0
673,4.0,2.0,0.38,6082.0,1940.0,2019-01-09,309900.0
677,5.0,3.0,0.35,6082.0,2064.0,2021-04-05,349900.0
679,3.0,3.0,0.5,6082.0,1904.0,2021-06-28,319900.0
687,3.0,2.0,0.3,6082.0,1168.0,2017-03-16,234900.0
688,3.0,3.0,0.39,6082.0,1234.0,2020-04-22,339900.0
694,3.0,2.0,1.03,6082.0,1414.0,2022-02-04,279900.0
698,5.0,4.0,0.73,6084.0,2132.0,2020-07-23,359999.0
712,4.0,2.0,2.0,6231.0,2093.0,2018-10-24,199000.0
713,2.0,1.0,0.11,6238.0,963.0,2018-07-05,89000.0
715,3.0,2.0,10.4,6076.0,1152.0,2016-06-22,43900.0
723,6.0,2.0,0.32,6066.0,2600.0,2017-01-18,199900.0
728,3.0,2.0,4.5,6074.0,1345.0,2016-07-25,265000.0
731,4.0,2.0,0.48,6029.0,2500.0,2016-07-11,219900.0
735,3.0,2.0,2.62,6424.0,1152.0,2021-04-28,43000.0
762,3.0,2.0,5.49,6238.0,1288.0,2021-06-04,164900.0
764,3.0,2.0,0.71,6108.0,1476.0,2018-08-28,209900.0
768,3.0,1.0,0.47,6118.0,1040.0,2019-02-11,195000.0
782,4.0,3.0,1.28,6040.0,2147.0,2018-10-18,390000.0
783,3.0,1.0,0.18,6066.0,1214.0,2016-08-16,186829.0
785,3.0,2.0,6.9,6237.0,1152.0,2021-03-01,98500.0
794,3.0,2.0,0.96,6029.0,1152.0,2021-03-08,127500.0
805,3.0,2.0,0.16,6040.0,998.0,2017-03-31,199900.0
807,4.0,2.0,0.23,6076.0,2432.0,2018-01-16,299000.0
814,3.0,2.0,1.99,6043.0,1152.0,2020-10-01,129900.0
815,3.0,2.0,0.32,6447.0,1152.0,2021-03-02,115000.0
831,4.0,4.0,0.6,6040.0,3040.0,2016-08-01,499000.0
843,2.0,1.0,0.51,6043.0,661.0,2016-10-24,170000.0
846,3.0,2.0,0.17,6074.0,1456.0,2018-08-23,249900.0
851,4.0,3.0,1.09,6066.0,2713.0,2017-07-31,424900.0
865,4.0,3.0,1.34,6029.0,2850.0,2021-11-17,629900.0
866,3.0,3.0,1.02,6066.0,2358.0,2021-12-01,625000.0
876,3.0,2.0,0.27,6118.0,1824.0,2020-04-14,249900.0
879,2.0,3.0,7.44,6447.0,1346.0,2019-11-18,424000.0
882,3.0,3.0,3.6,6268.0,1536.0,2017-06-29,299900.0
885,4.0,2.0,0.69,6029.0,1470.0,2017-12-18,279900.0
886,3.0,2.0,0.52,6074.0,1248.0,2021-12-13,349900.0
891,4.0,3.0,0.26,6040.0,2461.0,2016-02-16,319900.0
893,2.0,2.0,0.17,6088.0,1220.0,2021-05-28,179900.0
895,3.0,2.0,0.2,6108.0,1376.0,2017-07-10,225000.0
899,4.0,2.0,0.25,6042.0,1456.0,2016-07-27,269900.0
900,3.0,1.0,0.56,6066.0,952.0,2019-06-24,199900.0
903,3.0,2.0,0.63,6071.0,1166.0,2021-10-25,249525.0
905,3.0,2.0,0.19,6042.0,1416.0,2019-09-30,269900.0
906,2.0,1.0,0.17,6074.0,1130.0,2021-09-09,149000.0
914,1.0,2.0,0.17,6074.0,818.0,2016-08-08,149900.0
915,2.0,2.0,0.17,6029.0,816.0,2018-04-16,160000.0
922,2.0,2.0,0.17,6268.0,952.0,2019-08-16,148000.0
926,2.0,2.0,0.17,6016.0,1109.0,2016-06-16,174000.0
927,3.0,2.0,5.19,6066.0,2248.0,2016-07-12,295000.0
930,3.0,2.0,1.1,6033.0,1384.0,2018-03-28,309900.0
931,4.0,2.0,0.44,6074.0,2272.0,2017-05-30,329900.0
934,3.0,2.0,0.46,6040.0,2118.0,2016-12-30,349900.0
942,4.0,3.0,0.39,6066.0,1900.0,2019-05-14,390000.0
952,4.0,2.0,1.43,6029.0,1758.0,2021-03-04,349900.0
957,3.0,1.0,0.34,6238.0,1104.0,2017-03-27,199999.0
960,5.0,5.0,0.4,6042.0,2996.0,2016-03-11,399900.0
961,3.0,1.0,0.27,6066.0,1152.0,2018-07-25,197000.0
963,1.0,1.0,0.17,6074.0,706.0,2021-08-17,118000.0
965,3.0,1.0,1.0,6076.0,1008.0,2021-09-20,229900.0
966,3.0,2.0,0.63,6108.0,2189.0,2021-05-21,299900.0
970,2.0,2.0,0.17,6074.0,1368.0,2018-10-29,239900.0
973,3.0,2.0,0.45,6074.0,1416.0,2017-06-12,299900.0
976,6.0,3.0,0.38,6029.0,3528.0,2019-10-02,319900.0
978,6.0,4.0,0.17,6042.0,2190.0,2019-04-02,309000.0
991,4.0,4.0,3.0,6095.0,3715.0,2020-02-24,479900.0
995,3.0,3.0,0.17,6040.0,1968.0,2017-08-18,249900.0
1007,3.0,3.0,2.26,6029.0,2284.0,2017-11-14,569900.0
1015,3.0,3.0,0.51,6040.0,2152.0,2021-12-16,389900.0
1020,3.0,2.0,0.93,6029.0,1028.0,2021-11-10,259900.0
1027,4.0,3.0,1.72,6238.0,2313.0,2020-09-15,519900.0
1028,3.0,3.0,0.17,6066.0,1303.0,2016-01-19,264900.0
1029,4.0,3.0,1.42,6238.0,2518.0,2020-09-15,549900.0
1038,2.0,1.0,0.34,6238.0,1056.0,2020-12-28,199900.0
1045,3.0,3.0,1.17,6042.0,2400.0,2018-10-26,379900.0
1047,3.0,1.0,0.46,6076.0,1092.0,2016-03-02,220000.0
1053,5.0,4.0,0.89,6074.0,2521.0,2016-03-16,469900.0
1056,3.0,1.0,0.34,6238.0,992.0,2021-03-25,244900.0
1065,3.0,2.0,0.1,6040.0,1178.0,2020-05-01,199900.0
1066,3.0,2.0,1.04,6248.0,1360.0,2016-08-08,295000.0
1077,6.0,4.0,1.45,6029.0,2432.0,2019-03-11,329900.0
1078,3.0,2.0,1.86,6029.0,1152.0,2017-05-08,111000.0
1091,3.0,2.0,1.06,6071.0,1778.0,2018-04-03,330000.0
