,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
478,3.0,3.0,4.59,18337.0,3482.0,2020-10-20,499900.0
480,3.0,3.0,0.3,18324.0,3290.0,2017-03-27,299500.0
482,4.0,2.0,0.66,18324.0,1297.0,2021-03-23,205000.0
486,3.0,3.0,0.44,18302.0,1622.0,2016-04-07,259900.0
490,3.0,2.0,1.24,18328.0,1835.0,2020-11-02,260000.0
492,1.0,1.0,0.19,18337.0,1216.0,2021-08-06,329500.0
493,3.0,3.0,0.52,18302.0,1811.0,2020-09-09,395000.0
494,3.0,3.0,0.39,18324.0,2145.0,2016-06-08,309000.0
497,3.0,2.0,0.53,18428.0,1524.0,2018-04-05,229000.0
501,4.0,3.0,0.46,18324.0,2042.0,2021-01-12,299000.0
504,3.0,2.0,0.18,18328.0,1180.0,2019-05-03,269900.0
509,3.0,2.0,0.45,18324.0,1008.0,2016-01-14,215000.0
511,4.0,3.0,0.62,18302.0,2566.0,2016-03-16,419800.0
521,3.0,4.0,0.24,18302.0,2129.0,2016-06-15,264900.0
522,3.0,2.0,1.35,18337.0,1686.0,2019-03-14,279000.0
524,2.0,1.0,0.13,18336.0,1510.0,2021-07-15,214000.0
526,2.0,1.0,0.49,18328.0,837.0,2021-06-21,199000.0
528,3.0,2.0,3.0,18302.0,1066.0,2020-01-06,359000.0
540,3.0,2.0,0.27,18324.0,1248.0,2019-06-11,249900.0
545,2.0,1.0,1.1,18337.0,944.0,2017-03-27,189900.0
547,3.0,3.0,0.38,18337.0,2070.0,2018-06-05,349900.0
549,2.0,1.0,0.43,18328.0,924.0,2017-01-30,165000.0
552,2.0,2.0,0.4,18328.0,1480.0,2021-01-11,235000.0
553,4.0,3.0,0.6,18302.0,2059.0,2021-03-31,339900.0
566,3.0,2.0,0.51,18428.0,1300.0,2019-04-10,199000.0
567,3.0,2.0,1.26,18302.0,1792.0,2019-05-29,299900.0
568,6.0,2.0,0.17,18343.0,2944.0,2016-11-01,229900.0
572,3.0,3.0,8.26,18458.0,2162.0,2018-10-03,348900.0
575,4.0,2.0,1.0,18343.0,2100.0,2022-01-26,325000.0
578,4.0,3.0,0.08,18324.0,2662.0,2021-08-18,250000.0
593,4.0,3.0,0.32,18302.0,2510.0,2019-01-17,349000.0
594,3.0,2.0,0.3,18302.0,1055.0,2020-08-24,180000.0
595,1.0,1.0,0.07,18458.0,750.0,2021-02-24,28000.0
598,4.0,3.0,1.2,18302.0,2134.0,2021-08-16,375000.0
599,2.0,1.0,0.3,18328.0,1008.0,2019-03-19,175000.0
600,3.0,2.0,0.23,18328.0,1908.0,2017-08-21,349000.0
602,2.0,2.0,1.4,18428.0,1728.0,2021-02-12,795000.0
603,3.0,2.0,0.5,18328.0,1904.0,2018-04-24,149000.0
608,4.0,2.0,1.15,18302.0,2134.0,2021-01-13,319000.0
609,2.0,1.0,10.02,18458.0,1600.0,2020-10-27,349000.0
610,3.0,2.0,0.34,18336.0,2272.0,2018-05-08,298500.0
611,3.0,1.0,0.27,18302.0,1007.0,2016-04-07,170000.0
613,3.0,2.0,0.5,18428.0,1056.0,2018-06-25,225000.0
615,2.0,2.0,0.4,18324.0,960.0,2020-10-19,100000.0
620,4.0,3.0,0.66,18337.0,2912.0,2020-09-21,326000.0
621,4.0,2.0,10.24,18458.0,2173.0,2020-07-10,450000.0
629,3.0,2.0,0.43,18324.0,1388.0,2021-07-06,299999.0
633,4.0,2.0,0.36,18360.0,1731.0,2021-09-01,289000.0
635,4.0,3.0,2.67,18013.0,2607.0,2019-07-10,575000.0
639,3.0,2.0,0.08,18360.0,1944.0,2021-09-29,249900.0
649,2.0,1.0,0.59,18301.0,864.0,2019-08-19,127300.0
653,4.0,3.0,0.69,18360.0,3775.0,2017-09-22,439900.0
656,3.0,2.0,1.85,18013.0,2567.0,2019-05-21,549900.0
658,4.0,3.0,0.44,18301.0,2027.0,2022-03-01,274900.0
660,3.0,2.0,1.1,18301.0,1300.0,2016-10-19,299900.0
661,6.0,4.0,1.99,18343.0,4044.0,2020-11-03,599900.0
681,5.0,3.0,0.29,18301.0,2200.0,2018-08-16,365000.0
683,3.0,2.0,0.11,18360.0,1120.0,2021-09-03,264900.0
686,3.0,2.0,0.09,18013.0,1377.0,2022-03-04,190000.0
689,3.0,1.0,0.08,18013.0,1131.0,2022-03-04,190000.0
691,2.0,1.0,0.41,18328.0,932.0,2019-11-26,299000.0
692,5.0,2.0,0.36,18324.0,1700.0,2020-11-24,189900.0
693,3.0,2.0,0.42,18324.0,1728.0,2021-01-14,229900.0
695,4.0,3.0,0.31,18324.0,2448.0,2021-07-29,325900.0
696,6.0,3.0,0.4,18324.0,3384.0,2022-01-12,499900.0
697,3.0,2.0,0.27,18324.0,1445.0,2019-10-09,280000.0
729,3.0,2.0,0.38,18324.0,1428.0,2021-03-18,309000.0
730,3.0,1.0,0.39,18328.0,1404.0,2016-09-23,329900.0
731,3.0,2.0,0.28,18324.0,1344.0,2021-01-04,218000.0
736,3.0,3.0,0.41,18324.0,1846.0,2020-10-29,399000.0
737,3.0,2.0,0.4,18324.0,1380.0,2018-11-16,179000.0
742,3.0,1.0,0.02,19030.0,1272.0,2016-12-22,334000.0
752,3.0,2.0,0.17,19056.0,1152.0,2018-09-17,89000.0
763,4.0,4.0,0.75,19067.0,4007.0,2021-02-24,899900.0
