,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
2419,3.0,2.0,0.23,1473.0,1332.0,2020-12-15,239000.0
2508,2.0,2.0,0.23,1886.0,1139.0,2019-08-20,398900.0
2540,2.0,1.0,0.23,1863.0,684.0,2019-03-29,230000.0
2588,5.0,4.0,1.15,1886.0,4000.0,2021-09-23,1549800.0
2596,2.0,2.0,0.23,1854.0,908.0,2018-07-31,290000.0
2634,3.0,2.0,0.23,1754.0,2211.0,2019-03-15,399000.0
2637,2.0,2.0,0.23,1718.0,1338.0,2019-02-19,380000.0
2668,3.0,2.0,0.23,1510.0,1631.0,2021-10-20,120000.0
2692,2.0,2.0,0.23,1863.0,960.0,2020-08-03,330000.0
2706,3.0,2.0,1.48,1776.0,1800.0,2019-04-23,525000.0
2722,2.0,1.0,0.23,1453.0,1000.0,2019-07-12,224900.0
2723,2.0,2.0,0.23,1420.0,1240.0,2018-07-06,240000.0
2742,1.0,1.0,0.11,1510.0,574.0,2019-09-17,105000.0
2777,2.0,2.0,0.23,1749.0,1208.0,2019-04-01,359000.0
2836,4.0,3.0,1.59,1420.0,2952.0,2018-10-01,699000.0
2844,2.0,2.0,0.23,1468.0,1278.0,2019-12-10,274900.0
2863,2.0,2.0,0.23,1453.0,1140.0,2018-05-17,259900.0
2871,2.0,2.0,0.23,1775.0,949.0,2019-10-31,334000.0
2879,2.0,1.0,0.23,1702.0,1275.0,2021-05-24,325000.0
2936,2.0,1.0,0.23,1581.0,1103.0,2021-04-09,237500.0
2937,2.0,2.0,0.23,1505.0,1250.0,2018-06-26,329900.0
2945,3.0,3.0,0.23,1752.0,1821.0,2019-06-27,529900.0
2958,3.0,3.0,9.38,1532.0,2784.0,2016-05-20,684900.0
3036,4.0,4.0,0.46,1742.0,2831.0,2019-11-15,1365000.0
3101,2.0,1.0,0.23,1569.0,1215.0,2020-01-17,224000.0
3109,2.0,2.0,0.23,1701.0,980.0,2018-12-20,349900.0
3137,1.0,1.0,0.23,1701.0,658.0,2021-01-06,197000.0
3165,2.0,3.0,0.23,1701.0,2115.0,2019-05-30,719000.0
3168,2.0,1.0,0.11,1606.0,908.0,2018-02-13,324900.0
3179,2.0,3.0,0.23,1588.0,1595.0,2020-11-09,439900.0
3222,2.0,2.0,0.23,2493.0,1359.0,2020-03-25,679000.0
3223,3.0,2.0,0.23,1821.0,2047.0,2020-05-22,499900.0
3238,4.0,3.0,0.51,2421.0,2361.0,2021-07-16,1399000.0
3274,2.0,1.0,0.23,1803.0,900.0,2019-05-06,399000.0
3309,3.0,3.0,0.23,1718.0,1644.0,2018-11-09,415000.0
3314,2.0,3.0,0.23,1721.0,2019.0,2021-11-15,539900.0
3316,2.0,2.0,0.23,1721.0,2112.0,2020-02-21,499990.0
3318,2.0,2.0,0.23,1826.0,1372.0,2019-05-22,299000.0
3325,2.0,1.0,0.23,1826.0,725.0,2018-06-21,199900.0
3328,3.0,3.0,0.23,2493.0,2990.0,2021-03-31,1000000.0
3337,2.0,2.0,0.0,1876.0,1026.0,2020-04-28,379900.0
3474,2.0,2.0,0.23,1757.0,987.0,2020-11-02,340000.0
3510,1.0,1.0,0.23,1581.0,579.0,2021-04-06,249900.0
3582,2.0,4.0,0.23,1748.0,2680.0,2018-06-29,899000.0
3611,3.0,3.0,0.23,2054.0,1818.0,2020-07-21,525000.0
3637,2.0,2.0,0.23,2762.0,1080.0,2022-01-28,299900.0
3646,3.0,2.0,0.34,2038.0,967.0,2021-04-29,499900.0
3654,2.0,1.0,0.23,2038.0,974.0,2019-11-25,269000.0
3659,2.0,2.0,0.43,2019.0,1563.0,2019-08-12,325000.0
3702,2.0,2.0,0.23,2760.0,1656.0,2018-12-07,249900.0
3812,2.0,3.0,0.23,2056.0,2026.0,2019-06-05,675000.0
3829,1.0,1.0,0.23,2148.0,260.0,2021-12-17,210000.0
3834,2.0,1.0,0.23,2180.0,978.0,2018-10-09,328000.0
3836,1.0,1.0,0.02,2135.0,688.0,2018-06-01,650000.0
3852,2.0,1.0,0.23,2118.0,965.0,2021-03-31,1225000.0
3881,1.0,1.0,0.23,2215.0,526.0,2021-10-04,499000.0
3884,4.0,2.0,0.23,2472.0,2020.0,2021-11-30,849900.0
